category,description,image_url,main_category,name,price
Legowiska i budki,"Puszyste, lekkie, ciepłe, miękkie i bardzo wygodne posłanie dla wymagających kotów i piesków.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cazo leg ox prost.jpg,Koty,Cazo oxford legowisko puchowe,"236,16"
Legowiska i budki,"Puszyste, lekkie, ciepłe, miękkie i bardzo wygodne posłanie dla wymagających kotów i piesków.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cazo leg ox okragle.jpg,Koty,Cazo oxford legowisko puchowe,"260,21"
Preparaty,Pasta do pielęgnacji uzębienia dla psów i kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Stoma-żel.jpg,Koty,eurowet STOMA-ŻEL pasta do higieny jamy ustnej dla psa i kota,"33,58"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/BRIT POUCHES85GRAVYFILLETS WITH BEEF.jpg,Koty,BRIT Premium Delikatne Filety w sosie z WOŁOWINĄ,"2,07"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów z objawami alergii lub nietolerancji pokarmowej.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Natural-Taste-Allergy.jpg,Koty,Dolina Noteci Natural Taste Allergy,"3,99"
Karmy mokre,"Rozwiązanie żywieniowe dla kotów dorosłych, wspierające ochronę dolnych dróg moczowych. Opakowanie: 4x85g.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/urinary.jpg,Koty,Royal Canin Urinary Multipack 4x85g,"16,79"
Karmy mokre,Rozwiązanie żywieniowe opracowane specjalnie dla kociąt w drugim etapie wzrostu (od 4 do 12 miesiąca życia) oraz kotek w ciąży. Opakowanie: 4x85g.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/royalcanin_kitteninstinctive_sosse_9.jpg,Koty,Royal Canin Kitten Instinctive Multipack 4x85g,"19,25"
Karmy mokre,Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych kotów o wybrednym apetycie. Opakowanie: 4x85g.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/royalcanin_instinctivein_sosse_0.jpg,Koty,Royal Canin Instinctive Multipack 4x85g,"16,79"
Karmy mokre,Rozwiązanie żywieniowe opracowane specjalnie dla kociąt w drugim etapie wzrostu oraz ciężarnych kotek. Kawałki w galaretce.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/instinctive jelly.jpg,Koty,Royal Canin Kitten Insctinctive,"5,52"
Karmy mokre,PRO PLAN DELICATE NUTRISAVOUR,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/delicate_rybaocean.jpg,Koty,PURINA PRO PLAN NUTRISAVOUR  delicate RYBY OCEANICZNE,"13,63"
Karmy mokre,PRO PLAN STERILISED NUTRISAVOUR,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/steril_kura.jpg,Koty,PURINA PRO PLAN NUTRISAVOUR  STERILISED KURCZAK,"13,63"
Karmy mokre,PRO PLAN STERILISED NUTRISAVOUR,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/steril_wolowina.jpg,Koty,PURINA PRO PLAN NUTRISAVOUR  STERILISED wołowina,"13,63"
Karmy mokre,Felix Sensations to gama smakowitych posiłków specjalnie przygotowanych z delikatnymi mięsnymi kawałkami w pysznej i aromatycznej galaretce.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/PURINA-Felix-losos-sardynki.jpg,Koty,purina felix sensations z łososiem i sardynkami,"9,08"
Karmy mokre,"Karma zawiera smaczne kawałki mięsa wzbogacone delikatnymi dodatkami w saszetkach zachowujących świeżość, bez cukru, soi, barwników, konserwantów.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83652_Rafine_Soupe_Adult_HuhnEnteNudeln.jpg,Koty,animonda rafine soup adult kurczak z kaczką + makaron,"3,78"
Karmy mokre,Felix Sensations to gama smakowitych posiłków specjalnie przygotowanych z delikatnymi mięsnymi kawałkami w pysznej i aromatycznej galaretce.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/da704f054c189dc7e73ba1fd79bd.jpg,Koty,purina felix sensations mięsa w galaretce,"9,08"
Karmy mokre,"Karma zawiera smaczne kawałki mięsa wzbogacone delikatnymi dodatkami w saszetkach zachowujących świeżość, bez cukru, soi, barwników, konserwantów.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83653_Rafine_Soupe_Adult_RindGansApfel_100g.jpg,Koty,animonda rafine soup adult wołowina z gęsiną + jabłko,"3,78"
Karmy mokre,"Karma zawiera smaczne kawałki mięsa wzbogacone delikatnymi dodatkami w saszetkach zachowujących świeżość, bez cukru, soi, barwników, konserwantów.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83655_Rafine_Soupe_Adult_GefluegelKaninchenSchinken_100g.jpg,Koty,animonda rafine soup adult z drobiem i królikiem + szynka,"3,78"
Karmy mokre,"Karma zawiera smaczne kawałki mięsa wzbogacone delikatnymi dodatkami w saszetkach zachowujących świeżość, bez cukru, soi, barwników, konserwantów.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83666_Rafine_Soupe_Adult_PuteLamm_JoghurtSahneSauce.jpg,Koty,ANIMONDA RAFINE SOUP ADULT indyk z jagnięciną w sosie śmietanowo-jogurtowym,"3,78"
Karmy mokre,"Karma zawiera smaczne kawałki mięsa wzbogacone delikatnymi dodatkami w saszetkach zachowujących świeżość, bez cukru, soi, barwników, konserwantów.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83654_Rafine_Soupe_Adult_PuteKalbKaese_100g.jpg,Koty,animonda rafine soup adult indyk z cielęciną + ser,"3,78"
Karmy mokre,"Karma zawiera smaczne kawałki mięsa wzbogacone delikatnymi dodatkami w saszetkach zachowujących świeżość, bez cukru, soi, barwników, konserwantów.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/83656_Rafine_Soupe_Adult_KalbBratensauce_100g.jpg,Koty,ANIMONDA RAFINE SOUP ADULT cielęcina w sosie pieczeniowym,"3,78"
