category,description,ilosc,image_url,name,price
Psy/Adresówki grawerowane,Aluminiowa adresówka dla psa i kota.,45,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/SERCE MAŁE.jpg,MY FAMILY BASIC MAŁE SERCE SREBRNE,"41,00"
Psy/Adresówki grawerowane,Aluminiowa adresówka dla psa i kota.,86,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/KÓŁKO MAŁE.jpg,MY FAMILY BASIC MAŁE KÓŁKO SREBRNE,"41,00"
Psy/Legowiska,"Puszyste, lekkie, ciepłe, miękkie i bardzo wygodne posłanie dla wymagających kotów i piesków.",50,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cazo leg ox prost.jpg,Cazo oxford legowisko puchowe,"236,16"
Psy/Legowiska,"Puszyste, lekkie, ciepłe, miękkie i bardzo wygodne posłanie dla wymagających kotów i piesków.",39,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cazo leg ox okragle.jpg,Cazo oxford legowisko puchowe,"260,21"
Psy/Akcesoria,"Gwizdek jednotonowy, alarmowy dla psa.",100,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/tx2256 gwizdek alarmowy.jpg,TRIXIE GWIZDEK ALARMOWY CZARNY,"7,45"
Psy/Karmy weterynaryjne,Karmazapobiegająca kamicy struwitowej i oksalatowej u psów małych ras - poniżej 10kg.,45,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ur small dog.jpg,royal canin veterinary diet urinary S/O small dog,"67,44"
Psy/Karmy weterynaryjne,Karma stosowana w leczeniu i profilaktyce chorób dolnych dróg moczowych.,37,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Royal-Canin-Veterinary-Diet-Urinary-SO.jpg,royal canin veterinary diet urinary S/O,"85,99"
Psy/Karmy mokre,Rozwiązanie żywieniowe opracowane specjalnie dla dorosłych psów żyjących w środowisku miejskim.,83,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/royal-canin-urban-life-adult.jpeg,Royal Canin urban life adult,"5,98"
Psy/Akcesoria,Pasek z diodami LED doczepiany do smyczy.,10,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/VARIO_LED-FlashBelt_S-M.jpg,flexi flash belt,"58,99"
Psy/Akcesoria,Dwójnik do małej smyczy automatycznej.,66,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/VARIO_DuoBelt_anthracite.jpg,flexi vario duo belt,"22,49"
Psy/Preparaty,Pasta do pielęgnacji uzębienia dla psów i kotów.,26,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Stoma-żel.jpg,eurowet STOMA-ŻEL pasta do higieny jamy ustnej dla psa i kota,"33,58"
Psy/Akcesoria,Pojemnik na karmę i woreczki.,76,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/MultiBox_blue.jpg,Flexi multi box vario,"32,99"
Psy/Naturalne gryzaki,"Kośc prasowana dla psa, wykonana z suszonej skóry wołowej.",26,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/maced kosc prasowana naturalna.jpg,maced kość prasowana,"3,47"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,89,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pedigree kurczak jagnięcina w sosie 400g.jpg,PEDIGREE KURCZAK I JAGNIĘCINA W SOSIE,"6,37"
Psy/Karmy mokre,Pełnoporcjowa karma dla dorosłych psów małych ras.,26,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/petit tuńczyk z krewetkami.jpg,BRIT PETIT TUŃCZYK Z KREWETKAMI,"5,70"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras.,47,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-piper-z-dziczyzna-i-dynia-500-g.jpg,PIPER DZICZYZNA Z DYNIĄ,"6,99"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,51,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82736_GranCarnoOriginal_RindWild_400g.jpg,"Animonda GranCarno Orginal adult wołowina,dziczyzna","7,37"
Psy/Karmy mokre,Uzupełniająca karma dla dorosłych psów.,76,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/qeeardfzdfyaeyaeryaeh.jpg,schesir filet z kurczaka z aloesem,"7,56"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,34,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ADULT DRÓB DORSZ.jpg,ANIMONDA VOM FEINSTEN ADULT DRÓB+dorsz atlantycki,"4,73"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,65,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ADULT DRÓB CIELECINA.jpg,ANIMONDA VOM FEINSTEN ADULT DRÓB+CIELĘCINA,"4,73"
Psy/Karmy mokre,Mokra karma uzupełniająca,67,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Naturo Lamb 400g.jpg,Naturo Adult Jagnięcina z ryżem i warzywami,"4,51"
Psy/Karmy mokre,"Karma pełnoporcjowa dla dorosłych psów małych ras z cielęciną, pomidorami i makaronem.",44,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dn cielęcina.jpg,Dolina Noteci premium Cielęcina z Pomidorami i Makaronem,"5,49"
Psy/Karmy mokre,"Karma pełnoporcjowa dla dorosłych psów małych ras z gęsią, ziemniakami i jabłkiem.",20,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dn gęś.jpg,Dolina Noteci premium Gęś z ziemniakami i jabłkiem,"5,49"
Psy/Karmy mokre,"Karma pełnoporcjowa dla dorosłych psów małych ras z królikiem, fasolką i ryżem.",38,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dn królik.jpg,Dolina Noteci premium Królik z Fasolką i Ryżem,"5,49"
Psy/Karmy mokre,Pasztet z wołowiną i dziczyzną.,90,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pasztet wol dzik.jpg,butchers pro series z wołowina z dziczyzną,"3,69"
Psy/Karmy mokre,Sensitive pasztet z wołowiną.,98,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/sensitiv pasztet wolowina.jpg,butchers pro series sensitive wołowina,"1,99"
Psy/Karmy mokre,Sensitive pasztet z kurczakiem.,81,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/sensitiv kura.jpg,butchers pro series sensitive kurczak,"1,99"
Psy/Karmy mokre,"Light pasztet z kurczakiem, ryżem i warzywami.",34,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/light kura warzywa ryz.jpg,butchers pro series light,"3,69"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras gęś z jabłkiem.,48,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pure gęś jabłko.jpg,Dolina Noteci premium Pure z gęś z jabłkiem,"12,99"
